date,county,state,fips,cases,deaths
2021-07-01,Alameda,California,6001.0,90300,1271.0
2021-07-01,Alpine,California,6003.0,89,0.0
2021-07-01,Amador,California,6005.0,3755,47.0
2021-07-01,Butte,California,6007.0,12676,201.0
2021-07-01,Calaveras,California,6009.0,2210,56.0
2021-07-01,Colusa,California,6011.0,2288,18.0
2021-07-01,Contra Costa,California,6013.0,71319,818.0
2021-07-01,Del Norte,California,6015.0,1485,8.0
2021-07-01,El Dorado,California,6017.0,10428,117.0
2021-07-01,Fresno,California,6019.0,102490,1727.0
2021-07-01,Glenn,California,6021.0,2967,27.0
2021-07-01,Humboldt,California,6023.0,4582,50.0
2021-07-01,Imperial,California,6025.0,28981,741.0
2021-07-01,Inyo,California,6027.0,1434,38.0
2021-07-01,Kern,California,6029.0,111060,1407.0
2021-07-01,Kings,California,6031.0,23107,247.0
2021-07-01,Lake,California,6033.0,3601,56.0
2021-07-01,Lassen,California,6035.0,5821,26.0
2021-07-01,Los Angeles,California,6037.0,1251383,24499.0
2021-07-01,Madera,California,6039.0,16688,245.0
2021-07-01,Marin,California,6041.0,14133,232.0
2021-07-01,Mariposa,California,6043.0,467,7.0
2021-07-01,Mendocino,California,6045.0,4387,50.0
2021-07-01,Merced,California,6047.0,32380,482.0
2021-07-01,Modoc,California,6049.0,566,5.0
2021-07-01,Mono,California,6051.0,1298,4.0
2021-07-01,Monterey,California,6053.0,43896,496.0
2021-07-01,Napa,California,6055.0,10040,81.0
2021-07-01,Nevada,California,6057.0,4958,75.0
2021-07-01,Orange,California,6059.0,273636,5125.0
2021-07-01,Placer,California,6061.0,23793,300.0
2021-07-01,Plumas,California,6063.0,742,6.0
2021-07-01,Riverside,California,6065.0,301774,4637.0
2021-07-01,Sacramento,California,6067.0,108687,1743.0
2021-07-01,San Benito,California,6069.0,6105,63.0
2021-07-01,San Bernardino,California,6071.0,299883,4975.0
2021-07-01,San Diego,California,6073.0,298015,3780.0
2021-07-01,San Francisco,California,6075.0,37068,558.0
2021-07-01,San Joaquin,California,6077.0,74900,1444.0
2021-07-01,San Luis Obispo,California,6079.0,21482,261.0
2021-07-01,San Mateo,California,6081.0,42599,581.0
2021-07-01,Santa Barbara,California,6083.0,34652,457.0
2021-07-01,Santa Clara,California,6085.0,119388,2202.0
2021-07-01,Santa Cruz,California,6087.0,16289,208.0
2021-07-01,Shasta,California,6089.0,12579,236.0
2021-07-01,Sierra,California,6091.0,60,0.0
2021-07-01,Siskiyou,California,6093.0,2405,39.0
2021-07-01,Solano,California,6095.0,33978,268.0
2021-07-01,Sonoma,California,6097.0,31026,318.0
